partitions	stage	size	time
500	layer1	5M	8.959
500	layer2	5M	25.297
500	overlay	5M	40.6536
750	layer1	5M	6.8369
750	layer2	5M	9.4831
750	overlay	5M	26.958
1000	layer1	5M	6.7069
1000	layer2	5M	8.7823
1000	overlay	5M	26.022100000000002
2000	layer1	5M	9.4635
2000	layer2	5M	10.281
2000	overlay	5M	19.469
3000	layer1	5M	15.3653
3000	layer2	5M	15.7117
3000	overlay	5M	18.583199999999998
4000	layer1	5M	25.3808
4000	layer2	5M	25.613
4000	overlay	5M	20.9049
5000	layer1	5M	40.7315
5000	layer2	5M	41.7143
5000	overlay	5M	25.4616
