len=17038	entires=10	avg=4128.4375513557925
len=14815	entires=20	avg=4747.646304421195
len=13555	entires=30	avg=5188.780228697898
len=12685	entires=40	avg=5544.502719747734
len=11956	entires=50	avg=5882.435262629642
len=11377	entires=60	avg=6181.676013008701
len=10888	entires=70	avg=6459.191036002939
len=10486	entires=80	avg=6706.708945260347
len=10054	entires=90	avg=6994.764969166501
len=9625	entires=100	avg=7306.39761038961
len=9265	entires=110	avg=7590.186832164059
len=8986	entires=120	avg=7825.7655241486755
len=8644	entires=130	avg=8135.265617769551
len=8353	entires=140	avg=8418.549024302645
len=8080	entires=150	avg=8702.847400990098
len=7849	entires=160	avg=8958.843801758187
len=7594	entires=170	avg=9259.523966289176
len=7384	entires=180	avg=9522.745124593715
len=7162	entires=190	avg=9817.78288187657
len=6967	entires=200	avg=10092.446246591073
len=6748	entires=210	avg=10419.816390041493
len=6526	entires=220	avg=10774.113545816734
len=6373	entires=230	avg=11032.673152361525
len=6220	entires=240	avg=11303.959807073956
len=6100	entires=250	avg=11526.194590163934
len=5941	entires=260	avg=11834.519104527857
len=5788	entires=270	avg=12147.21371803732
len=5662	entires=280	avg=12417.438184387142
len=5524	entires=290	avg=12727.48678493845
len=5416	entires=300	avg=12981.1726366322
len=5299	entires=310	avg=13267.639932062653
len=5167	entires=320	avg=13606.443197213082
len=5071	entires=330	avg=13863.921120094656
len=4969	entires=340	avg=14148.362245924733
len=4894	entires=350	avg=14365.100326930937
len=4801	entires=360	avg=14643.250364507394
len=4708	entires=370	avg=14932.422472387425
len=4618	entires=380	avg=15223.322433954092
len=4528	entires=390	avg=15525.788648409894
len=4441	entires=400	avg=15829.782031074083
len=4363	entires=410	avg=16112.65757506303
len=4294	entires=420	avg=16371.476478807639
len=4210	entires=430	avg=16698.008551068884
len=4138	entires=440	avg=16988.371193813437
len=4060	entires=450	avg=17314.5960591133
len=3982	entires=460	avg=17653.602461074835
len=3898	entires=470	avg=18033.866854797332
len=3847	entires=480	avg=18272.785807122433
len=3778	entires=490	avg=18606.395182636315
len=3694	entires=500	avg=19029.30725500812
len=3649	entires=510	avg=19263.898876404495
len=3583	entires=520	avg=19618.62796539213
len=3523	entires=530	avg=19952.62106159523
len=3472	entires=540	avg=20245.567396313363
len=3391	entires=550	avg=20728.948982601003
len=3343	entires=560	avg=21026.502542626382
len=3313	entires=570	avg=21216.859643827345
len=3292	entires=580	avg=21352.156136087484
len=3235	entires=590	avg=21728.312519319938
len=3184	entires=600	avg=22076.26099246231
len=3160	entires=610	avg=22243.86424050633
len=3124	entires=620	avg=22500.12451984635
len=3097	entires=630	avg=22696.223119147562
len=3067	entires=640	avg=22918.162699706554
len=3034	entires=650	avg=23167.38002636783
len=2998	entires=660	avg=23445.464643095398
len=2977	entires=670	avg=23610.81256298287
len=2935	entires=680	avg=23948.559795570698
len=2899	entires=690	avg=24245.896171093482
len=2857	entires=700	avg=24602.169758487926
len=2806	entires=710	avg=25049.182109764788
len=2788	entires=720	avg=25210.870516499283
len=2725	entires=730	avg=25793.540917431194
len=2719	entires=740	avg=25850.446855461567
len=2683	entires=750	avg=26197.122996645547
len=2659	entires=760	avg=26433.453553967658
len=2626	entires=770	avg=26765.53808073115
len=2599	entires=780	avg=27043.50250096191
len=2572	entires=790	avg=27327.320762052877
len=2518	entires=800	avg=27913.112390786337
len=2485	entires=810	avg=28283.645472837023
len=2470	entires=820	avg=28455.351012145748
len=2434	entires=830	avg=28876.07682826623
len=2395	entires=840	avg=29346.12108559499
len=2371	entires=850	avg=29643.108393083086
len=2359	entires=860	avg=29793.790589232725
len=2314	entires=870	avg=30373.019878997406
len=2293	entires=880	avg=30651.102485826428
len=2281	entires=890	avg=30812.27619465147
len=2260	entires=900	avg=31098.516371681417
len=2233	entires=910	avg=31474.408866995072
len=2209	entires=920	avg=31816.218650973293
len=2194	entires=930	avg=32033.702370100273
len=2185	entires=940	avg=32165.619679633866
len=2173	entires=950	avg=32343.170271514035
len=2161	entires=960	avg=32522.66219342897
len=2125	entires=970	avg=33073.427764705884
len=2095	entires=980	avg=33546.91169451074
len=2077	entires=990	avg=33837.46653827636
len=2062	entires=1000	avg=34083.548011639185

